Genre,GenreId,Copies_sold
Action-adventure,action-adventure,44020000
Action role-playing,action_roleplaying,43800000
Action-adventure survival horror,action-adventure_survival_horror,20000000
Action-adventure hack and slash,action-adventure_hack_slash,19500000
Action-adventure stealth,action-adventure_stealth,10830000
Racing,racing,10830000
First-person shooter third-person shooter,first_third_person_shooter,8420000
Adventure,adventure,5500000
First-person shooter,first_person_shooter,3400000
Sports,sports,3120000
Platform,platform,2500000
Role-playing social simulation,role-playing_social,2300000
Role-playing,role-playing,2300000
Platform beat 'em up,platform_beatup,2000000
Sandbox survival,sandbox_survival,2000000
